Nodes,Type,Measurement
CCL5_g,Gene,1
CRP_g,Gene,1
CX3CL1_g,Gene,1
CXCL10_g,Gene,1
ICAM1_g,Gene,1
IL10_g,Gene,1
IL1A_g,Gene,1
IL1B_g,Gene,1
IL6_g,Gene,1
NGF_g,Gene,1
VEGFB_g,Gene,1
ACTA1_g,Gene,1
CCND1_g,Gene,1
CDKN1A_g,Gene,1
DKK2_g,Gene,1
HPGD_g,Gene,1
IL12B_g,Gene,1
MMP13_g,Gene,1
SULT1A1_g,Gene,1
ADIPOQ_g,Gene,1
BCL2L1_g,Gene,1
HMOX1_g,Gene,1
NFIL3_g,Gene,1
NOS2_g,Gene,1
TGFB2_g,Gene,1
SOX2_g,Gene,1
ACTA2_g,Gene,1
CCL2_g,Gene,1
BMP2_g,Gene,1
CD44_g,Gene,1
CDC20_g,Gene,1
COL4A1_g,Gene,1
ESR1_g,Gene,1
IFNG_g,Gene,1
IL24_g,Gene,1
NNMT_g,Gene,1
CDK2_g,Gene,1
DLGAP5_g,Gene,1
HMGCS2_g,Gene,1
NUPR1_g,Gene,1
APLN_g,Gene,1
TMEM158_g,Gene,1
CXCL11_g,Gene,1
FGFR4_g,Gene,1
IFNB1_g,Gene,1
IL23A_g,Gene,1
RSAD2_g,Gene,1
IL4_g,Gene,1
ARHGAP25_g,Gene,1
CDKN2B_g,Gene,1
CD40_g,Gene,1
ITGB2_g,Gene,1
THBD_g,Gene,1
FABP1_g,Gene,1
RASL11B_g,Gene,1
SOCS1_g,Gene,1
CCL7_g,Gene,1
DIO3_g,Gene,1
MAP3K8_g,Gene,1
